Case ID,Activity,Timestamp,Resource,Loan type,Amount,Channel,Region,Outcome
L0001,Submit application,2025-02-17 09:00:00,Dana,Auto,19400.00,Broker,West,Approved
L0001,Check completeness,2025-02-17 16:32:00,Chen,Auto,19400.00,Broker,West,Approved
L0001,Assess credit,2025-02-17 22:13:00,Farah,Auto,19400.00,Broker,West,Approved
L0001,Approve application,2025-02-18 05:30:00,Farah,Auto,19400.00,Broker,West,Approved
L0001,Send offer,2025-02-18 12:09:00,Ana,Auto,19400.00,Broker,West,Approved
L0001,Sign contract,2025-02-24 20:55:00,Dana,Auto,19400.00,Broker,West,Approved
L0002,Submit application,2025-05-22 14:00:00,Chen,Business,71500.00,Broker,East,Rejected
L0002,Check completeness,2025-05-22 18:26:00,Dana,Business,71500.00,Broker,East,Rejected
L0002,Request documents,2025-05-22 23:38:00,Dana,Business,71500.00,Broker,East,Rejected
L0002,Receive documents,2025-05-28 12:09:00,Ana,Business,71500.00,Broker,East,Rejected
L0002,Assess credit,2025-05-30 10:16:00,Eli,Business,71500.00,Broker,East,Rejected
L0002,Manual review,2025-06-01 17:03:00,Gil,Business,71500.00,Broker,East,Rejected
L0002,Reject application,2025-06-01 23:47:00,Farah,Business,71500.00,Broker,East,Rejected
L0003,Submit application,2025-06-09 08:00:00,Portal,Auto,11900.00,Online,West,Approved
L0003,Check completeness,2025-06-10 04:18:00,Chen,Auto,11900.00,Online,West,Approved
L0003,Request documents,2025-06-10 07:11:00,Dana,Auto,11900.00,Online,West,Approved
L0003,Receive documents,2025-06-12 12:45:00,Chen,Auto,11900.00,Online,West,Approved
L0003,Assess credit,2025-06-13 00:51:00,Farah,Auto,11900.00,Online,West,Approved
L0003,Approve application,2025-06-13 14:16:00,Eli,Auto,11900.00,Online,West,Approved
L0003,Send offer,2025-06-13 19:50:00,Ben,Auto,11900.00,Online,West,Approved
L0003,Sign contract,2025-06-16 15:24:00,Chen,Auto,11900.00,Online,West,Approved
L0004,Submit application,2025-03-25 08:00:00,Ana,Mortgage,353000.00,Branch,North,Approved
L0004,Check completeness,2025-03-25 21:23:00,Ben,Mortgage,353000.00,Branch,North,Approved
L0004,Assess credit,2025-03-26 11:36:00,Farah,Mortgage,353000.00,Branch,North,Approved
L0004,Manual review,2025-03-28 19:04:00,Gil,Mortgage,353000.00,Branch,North,Approved
L0004,Approve application,2025-03-29 09:38:00,Farah,Mortgage,353000.00,Branch,North,Approved
L0004,Send offer,2025-03-29 13:40:00,Chen,Mortgage,353000.00,Branch,North,Approved
L0004,Sign contract,2025-04-02 16:19:00,Ben,Mortgage,353000.00,Branch,North,Approved
L0005,Submit application,2025-03-15 13:00:00,Dana,Business,64100.00,Broker,South,Rejected
L0005,Check completeness,2025-03-15 18:04:00,Ben,Business,64100.00,Broker,South,Rejected
L0005,Reject application,2025-03-15 21:00:00,Ben,Business,64100.00,Broker,South,Rejected
L0006,Submit application,2025-02-18 14:00:00,Ben,Personal,18400.00,Broker,West,Rejected
L0006,Check completeness,2025-02-19 04:56:00,Chen,Personal,18400.00,Broker,West,Rejected
L0006,Request documents,2025-02-19 10:31:00,Dana,Personal,18400.00,Broker,West,Rejected
L0006,Receive documents,2025-02-28 00:52:00,Ana,Personal,18400.00,Broker,West,Rejected
L0006,Request documents,2025-02-28 03:22:00,Dana,Personal,18400.00,Broker,West,Rejected
L0006,Receive documents,2025-03-05 07:45:00,Ana,Personal,18400.00,Broker,West,Rejected
L0006,Assess credit,2025-03-06 08:09:00,Farah,Personal,18400.00,Broker,West,Rejected
L0006,Reject application,2025-03-06 15:50:00,Farah,Personal,18400.00,Broker,West,Rejected
L0007,Submit application,2025-02-24 13:00:00,Dana,Mortgage,345600.00,Broker,South,Rejected
L0007,Check completeness,2025-02-24 15:57:00,Ana,Mortgage,345600.00,Broker,South,Rejected
L0007,Request documents,2025-02-24 20:13:00,Dana,Mortgage,345600.00,Broker,South,Rejected
L0007,Receive documents,2025-03-06 01:52:00,Ana,Mortgage,345600.00,Broker,South,Rejected
L0007,Assess credit,2025-03-06 17:39:00,Farah,Mortgage,345600.00,Broker,South,Rejected
L0007,Manual review,2025-03-08 10:40:00,Gil,Mortgage,345600.00,Broker,South,Rejected
L0007,Reject application,2025-03-08 22:26:00,Farah,Mortgage,345600.00,Broker,South,Rejected
L0008,Submit application,2025-05-02 16:00:00,Ben,Auto,29200.00,Branch,West,Approved
L0008,Check completeness,2025-05-03 14:51:00,Ana,Auto,29200.00,Branch,West,Approved
L0008,Assess credit,2025-05-04 22:16:00,Farah,Auto,29200.00,Branch,West,Approved
L0008,Approve application,2025-05-05 10:16:00,Eli,Auto,29200.00,Branch,West,Approved
L0008,Send offer,2025-05-05 13:06:00,Dana,Auto,29200.00,Branch,West,Approved
L0008,Sign contract,2025-05-11 20:16:00,Ana,Auto,29200.00,Branch,West,Approved
L0009,Submit application,2025-06-19 11:00:00,Ben,Personal,7900.00,Branch,West,Approved
L0009,Check completeness,2025-06-20 01:26:00,Ana,Personal,7900.00,Branch,West,Approved
L0009,Request documents,2025-06-20 03:13:00,Ana,Personal,7900.00,Branch,West,Approved
L0009,Receive documents,2025-06-21 14:31:00,Dana,Personal,7900.00,Branch,West,Approved
L0009,Assess credit,2025-06-22 06:50:00,Farah,Personal,7900.00,Branch,West,Approved
L0009,Approve application,2025-06-23 02:45:00,Farah,Personal,7900.00,Branch,West,Approved
L0009,Send offer,2025-06-23 05:44:00,Dana,Personal,7900.00,Branch,West,Approved
L0009,Sign contract,2025-06-26 15:56:00,Chen,Personal,7900.00,Branch,West,Approved
L0010,Submit application,2025-05-14 15:00:00,Portal,Business,121800.00,Online,North,Rejected
L0010,Check completeness,2025-05-14 23:34:00,Dana,Business,121800.00,Online,North,Rejected
L0010,Request documents,2025-05-15 03:51:00,Ben,Business,121800.00,Online,North,Rejected
L0010,Receive documents,2025-05-19 03:05:00,Ana,Business,121800.00,Online,North,Rejected
L0010,Assess credit,2025-05-20 08:51:00,Farah,Business,121800.00,Online,North,Rejected
L0010,Manual review,2025-05-22 15:04:00,Gil,Business,121800.00,Online,North,Rejected
L0010,Reject application,2025-05-23 18:40:00,Farah,Business,121800.00,Online,North,Rejected
L0011,Submit application,2025-06-28 12:00:00,Portal,Auto,37400.00,Online,West,Approved
L0011,Check completeness,2025-06-28 16:57:00,Dana,Auto,37400.00,Online,West,Approved
L0011,Assess credit,2025-06-30 12:47:00,Farah,Auto,37400.00,Online,West,Approved
L0011,Approve application,2025-07-01 00:03:00,Eli,Auto,37400.00,Online,West,Approved
L0011,Send offer,2025-07-01 03:55:00,Chen,Auto,37400.00,Online,West,Approved
L0011,Sign contract,2025-07-04 09:21:00,Dana,Auto,37400.00,Online,West,Approved
L0012,Submit application,2025-01-09 08:00:00,Ana,Personal,12500.00,Branch,East,Approved
L0012,Check completeness,2025-01-09 11:49:00,Ben,Personal,12500.00,Branch,East,Approved
L0012,Assess credit,2025-01-10 23:16:00,Eli,Personal,12500.00,Branch,East,Approved
L0012,Approve application,2025-01-11 10:49:00,Eli,Personal,12500.00,Branch,East,Approved
L0012,Send offer,2025-01-11 17:50:00,Chen,Personal,12500.00,Branch,East,Approved
L0012,Sign contract,2025-01-17 17:31:00,Ben,Personal,12500.00,Branch,East,Approved
L0013,Submit application,2025-05-18 15:00:00,Dana,Auto,20600.00,Broker,West,Rejected
L0013,Check completeness,2025-05-19 09:07:00,Dana,Auto,20600.00,Broker,West,Rejected
L0013,Request documents,2025-05-19 12:11:00,Ana,Auto,20600.00,Broker,West,Rejected
L0013,Receive documents,2025-05-25 12:06:00,Chen,Auto,20600.00,Broker,West,Rejected
L0013,Request documents,2025-05-25 13:57:00,Chen,Auto,20600.00,Broker,West,Rejected
L0013,Receive documents,2025-05-31 20:56:00,Chen,Auto,20600.00,Broker,West,Rejected
L0013,Request documents,2025-06-01 02:17:00,Chen,Auto,20600.00,Broker,West,Rejected
L0013,Receive documents,2025-06-08 08:27:00,Ben,Auto,20600.00,Broker,West,Rejected
L0013,Assess credit,2025-06-09 15:15:00,Farah,Auto,20600.00,Broker,West,Rejected
L0013,Reject application,2025-06-09 20:41:00,Farah,Auto,20600.00,Broker,West,Rejected
L0014,Submit application,2025-02-01 08:00:00,Ana,Personal,19700.00,Branch,West,Approved
L0014,Check completeness,2025-02-02 07:03:00,Dana,Personal,19700.00,Branch,West,Approved
L0014,Assess credit,2025-02-03 21:12:00,Eli,Personal,19700.00,Branch,West,Approved
L0014,Approve application,2025-02-04 21:09:00,Farah,Personal,19700.00,Branch,West,Approved
L0014,Send offer,2025-02-04 23:01:00,Ben,Personal,19700.00,Branch,West,Approved
L0014,Sign contract,2025-02-11 10:30:00,Ana,Personal,19700.00,Branch,West,Approved
L0015,Submit application,2025-06-27 12:00:00,Chen,Mortgage,256700.00,Branch,North,Approved
L0015,Check completeness,2025-06-28 02:10:00,Ana,Mortgage,256700.00,Branch,North,Approved
L0015,Request documents,2025-06-28 04:31:00,Ana,Mortgage,256700.00,Branch,North,Approved
L0015,Receive documents,2025-06-29 06:22:00,Dana,Mortgage,256700.00,Branch,North,Approved
L0015,Assess credit,2025-06-29 20:39:00,Farah,Mortgage,256700.00,Branch,North,Approved
L0015,Manual review,2025-07-01 00:34:00,Gil,Mortgage,256700.00,Branch,North,Approved
L0015,Approve application,2025-07-01 09:16:00,Eli,Mortgage,256700.00,Branch,North,Approved
L0015,Send offer,2025-07-01 13:52:00,Dana,Mortgage,256700.00,Branch,North,Approved
L0015,Sign contract,2025-07-06 15:33:00,Dana,Mortgage,256700.00,Branch,North,Approved
L0016,Submit application,2025-03-03 16:00:00,Dana,Mortgage,136800.00,Broker,North,Approved
L0016,Check completeness,2025-03-04 08:55:00,Dana,Mortgage,136800.00,Broker,North,Approved
L0016,Request documents,2025-03-04 13:47:00,Ben,Mortgage,136800.00,Broker,North,Approved
L0016,Receive documents,2025-03-08 01:27:00,Ana,Mortgage,136800.00,Broker,North,Approved
L0016,Assess credit,2025-03-08 09:31:00,Farah,Mortgage,136800.00,Broker,North,Approved
L0016,Manual review,2025-03-10 15:33:00,Gil,Mortgage,136800.00,Broker,North,Approved
L0016,Approve application,2025-03-11 07:51:00,Farah,Mortgage,136800.00,Broker,North,Approved
L0016,Send offer,2025-03-11 12:01:00,Dana,Mortgage,136800.00,Broker,North,Approved
L0016,Sign contract,2025-03-15 00:53:00,Ana,Mortgage,136800.00,Broker,North,Approved
L0017,Submit application,2025-05-21 10:00:00,Portal,Auto,29400.00,Online,West,Approved
L0017,Check completeness,2025-05-21 14:28:00,Chen,Auto,29400.00,Online,West,Approved
